QID,AccAnswer,QPostTime,Reason Tag,Too lenthy erroneous code,class/interface not found,library not found,identifier/object type not found,method not found,too short code segment,Important Code Missing,Database/File Dependency,Outdated Code but Can not replace
337038,YES,2008-12-03 13:10,,,1,,,1,,,,
469249,NO,2009-01-22 14:12,Too short code. Class and Identifier dependency,,,,,,1,,,
535463,NO,2009-02-11 4:47,Too short code,,,,,,1,,,
548458,NO,2009-02-14 4:02,Important Code Missing,,,,,,,1,,
561215,NO,2009-02-18 14:18,Erroneous Code,,,,,,,,,
729960,YES,2009-04-08 13:18,,,,1,,,,,,
779970,NO,2009-04-23 1:33,Database dependency but not given the sample,,,,,,,,1,
788359,NO,2009-04-25 6:30,Class and Interface dependency but not given,,1,,,,,,,
790321,YES,2009-04-26 5:59,,,1,,,,,,,
798184,NO,2009-04-28 14:14,Class dependency but not given,,1,,,,,1,,
826467,NO,2009-05-19 12:11,Identifier dependency,,,,1,,,,,
954670,NO,2009-06-05 7:33,,,,1,1,,,,,
981852,NO,2009-06-11 15:35,,,,,,1,,,,
1063004,NO,2009-06-30 10:42,,,1,,1,,,,,
1142655,YES,2009-07-17 11:13,,,1,,,1,,,,
1205604,NO,2009-07-30 9:55,,,,1,1,,,,,
1217868,YES,2009-08-02 0:34,,1,,,,,,,,
1226076,NO,2009-08-04 7:21,,,,1,1,1,,,,
1264770,NO,2009-08-12 7:39,,,,,,,,,,1
1375457,NO,2009-09-03 19:32,,,,,1,,,,,
1417223,NO,2009-09-13 8:42,,,,,,1,,,,
1536054,YES,2009-10-08 7:01,,1,,,,,,,,
1594400,NO,2009-10-20 12:53,,,,1,1,,,,1,
1640364,NO,2009-10-28 21:53,,,,,,,,1,,
1698368,YES,2009-11-08 23:42,,,,,1,1,,1,,
1784635,YES,2009-11-23 17:20,,,1,,,1,,,,
1792639,NO,2009-11-24 20:15,,,,,,1,,1,,
1813193,NO,2009-11-28 17:45,,,,,,1,,1,,
1866198,YES,2009-12-08 10:55,,,,1,,,,,,
1957409,NO,2009-12-24 8:38,,,1,,,1,,,,
1961686,YES,2009-12-25 18:47,,,1,,,,,,,
2012643,YES,2010-01-06 11:45,,,1,,,1,,,1,
2018247,NO,2010-01-07 4:43,,,,1,1,,1,,,
2069485,NO,2010-01-15 4:19,,,,,1,,1,,,
2233347,NO,2010-02-09 23:34,,,1,,1,,,,,
2355405,NO,2010-03-01 11:23,,,,,,,,,,
3464899,NO,2010-08-12 5:12,,,,,,,,1,,
4546613,NO,2010-12-28 14:03,,,1,,,,,,,
5575544,NO,2011-04-07 3:18,,,,,,,,1,1,
9978943,NO,2012-04-02 15:12,,,1,,,1,,,,
12773237,NO,2012-10-07 22:00,,,,1,,,,,,
13027558,YES,2012-10-23 9:39,,,,,,,,,,
13298297,NO,2012-11-08 21:40,,,,,,,,1,,
15318621,YES,2013-03-10 3:36,,,,,,,,,,
18256650,NO,2013-08-15 15:59,,,,,,,,,,
18730761,NO,2013-09-11 0:14,,,,,,,,1,,
19281397,NO,2013-10-09 19:58,,,1,,,1,,1,,
20751773,NO,2013-12-23 21:56,,,,,,,1,,,
22003194,YES,2014-02-25 2:04,,,,,,,,,,
23481779,NO,2014-05-05 20:59,,,1,1,,1,,,,
24269633,NO,2014-06-17 17:09,,,,1,,,,,,
26564796,NO,2014-10-25 16:46,,,,,,,,1,,
26661245,NO,2014-10-30 19:00,,,,,,,,1,,
26954149,NO,2014-11-16 5:34,,,,,1,,,,,
28669653,NO,2015-02-23 8:37,,,,,,1,,,,
29734003,NO,2015-04-19 18:26,,1,,1,,,,,,
30996352,YES,2015-06-23 7:24,,,,,,,,,,
31895755,YES,2015-08-08 15:48,,1,,,1,,,,,
33105021,NO,2015-10-13 14:14,,,,,,,,1,,
33716155,NO,2015-11-15 3:40,,,1,1,,,,,,
33884793,NO,2015-11-24 3:11,Too lenthy. Erroneous.,1,,,,,,,,
33926269,NO,2015-11-25 20:57,,,,,,,,,,
34087298,NO,2015-12-04 11:25,,,,,,1,,1,,
34475587,NO,2015-12-26 21:56,,,,,,,,,,
35251787,NO,2016-02-07 9:26,,,,1,,,,1,,
35491734,YES,2016-02-18 20:25,,,,1,,1,,,,
36777806,NO,2016-04-21 18:33,,,,,,,,1,,
37165300,NO,2016-05-11 14:13,,,,1,,,,,,
37935013,NO,2016-06-21 3:21,Import Code Missing,,,,,,,1,,
38229327,NO,2016-07-06 16:44,Too short code,,,,,,1,,,
38961644,NO,2016-08-15 19:24,Class and Method dependency but not given,,1,,,1,,,,
39889376,NO,2016-10-06 6:51,External Library Dependency,,,1,,,,,,
40456238,NO,2016-11-07 0:39,Import Method Missing,,,,,1,,,,
42822977,NO,2017-03-16 0:00,Compilation Error,1,,,,,,,,
42838851,YES,2017-03-16 15:49,,,1,,,1,,,,
44160950,NO,2017-05-24 14:12,,,,,,,1,,,
45806852,NO,2017-08-21 23:29,,,,,,,,1,,
45881853,NO,2017-08-25 12:50,,,,,,,,1,,
46701288,NO,2017-10-12 4:12,Too short code,,,,,,1,,,
47601836,NO,2017-12-01 21:37,Class and Method dependency but not given,,1,,,1,,,,
48819325,NO,2018-02-16 2:35,,,,,,,,1,,
49342785,NO,2018-03-17 23:03,External Library Dependency,,,1,,,,,,
49706263,NO,2018-04-07 10:15,Too short code,,,,,,1,,,
49957011,NO,2018-04-21 14:54,,1,,,,,,,,
50501028,NO,2018-05-24 4:34,,,,1,,,,,,
51384372,NO,2018-07-17 14:48,,,,,,,1,,,
53425261,NO,2018-11-22 6:46,Too short code,,,,,,1,,,
