QID,AccAnswer,NoOfAnswer,Score,QPostTime,LOC,ReproducibilityStatus
189889,YES,5,56,2008-10-10 2:15,3,Minor Modification
223918,YES,23,1071,2018-10-21 23:23,14,Minor Modification
275711,YES,5,377,2008-11-09 7:35,8,Inaccurate Claim
312168,YES,6,17,2008-11-23 5:43,10,Minor Modification
314600,YES,2,0,2008-11-24 16:07,26,Minor Modification
337038,YES,4,1,2008-12-03 13:10,2,Irreproducible
354393,YES,8,0,2008-12-09 22:00,10,Minor Modification
401748,NO,5,1,2008-12-30 22:44,9,Minor Modification
404804,YES,7,14,2009-01-01 10:00,20,Without Modification
409919,YES,6,0,2009-01-03 21:49,28,Without Modification
469249,NO,4,3,2009-01-22 14:12,1,Irreproducible
502494,NO,14,9,2009-02-02 8:06,4,Minor Modification
520168,NO,5,0,2009-02-06 12:53,8,Inaccurate Claim
535463,NO,4,1,2009-02-11 4:47,106,Irreproducible
548132,YES,9,2,2009-02-13 23:45,21,Without Modification
548458,NO,1,0,2009-02-14 4:02,3,Irreproducible
561215,NO,1,-1,2009-02-18 14:18,17,Irreproducible
571874,NO,4,2,2009-02-21 1:25,15,Major Modification
592262,YES,7,1,2009-02-26 20:20,4,Minor Modification
601380,NO,2,0,2009-03-02 5:44,11,Major Modification
620934,NO,1,3,2009-03-07 0:00,71,Major Modification
632370,YES,3,2,2009-03-10 21:32,47,Inaccurate Claim
632678,YES,2,-1,2009-03-10 23:21,6,Without Modification
690028,YES,4,0,2009-03-27 14:39,118,Major Modification
695795,YES,3,1,2009-03-30 1:49,5,Inaccurate Claim
729960,YES,5,5,2009-04-08 13:18,1,Irreproducible
750557,YES,2,0,2009-04-15 6:47,10,Inaccurate Claim
779970,NO,4,0,2009-04-23 1:33,7,Irreproducible
783473,YES,2,3,2009-04-23 20:54,4,Minor Modification
785533,NO,4,0,2009-04-24 11:55,18,Minor Modification
788359,NO,6,9,2009-04-25 6:30,20,Irreproducible
790321,YES,4,1,2009-04-26 5:59,59,Irreproducible
798184,NO,3,1,2009-04-28 14:14,4,Irreproducible
806139,NO,3,0,2009-04-30 9:40,14,Inaccurate Claim
815411,NO,6,1,2009-05-02 19:11,1,Minor Modification
826467,NO,6,2,2009-05-19 12:11,9,Irreproducible
842817,YES,10,116,2009-05-09 6:33,3,Minor Modification
852887,YES,5,0,2009-05-12 13:49,1,Minor Modification
873213,YES,4,2,2009-05-16 20:20,3,Minor Modification
909956,YES,7,3,2009-05-26 10:16,8,Minor Modification
924208,YES,6,129,2009-05-29 2:56,14,Without Modification
942849,NO,4,2,2009-06-03 2:48,3,Major Modification
954670,NO,2,0,2009-06-05 7:33,733,Irreproducible
966159,YES,7,2,2009-06-08 18:08,25,Minor Modification
975619,YES,3,0,2009-06-10 13:31,8,Major Modification
981852,NO,6,4,2009-06-11 15:35,1,Irreproducible
1038540,YES,4,1,2009-06-24 13:55,3,Minor Modification
1062041,YES,5,20,2009-06-30 6:33,14,Inaccurate Claim
1063004,NO,3,0,2009-06-30 10:42,9,Irreproducible
1114034,NO,3,-1,2009-07-11 16:15,381,Without Modification
1142655,YES,7,0,2009-07-17 11:13,11,Irreproducible
1149972,YES,4,1,2009-07-19 14:09,8,Minor Modification
1167769,YES,5,1,2009-07-22 19:46,28,Minor Modification
1205604,NO,6,0,2009-07-30 9:55,25,Irreproducible
1217868,YES,4,12,2009-08-02 0:34,1,Irreproducible
1226076,NO,3,0,2009-08-04 7:21,88,Irreproducible
1250860,NO,3,1,2009-08-09 7:12,30,Major Modification
1264770,NO,3,0,2009-08-12 7:39,14,Irreproducible
1279542,YES,8,85,2009-08-14 18:52,15,Minor Modification
1279910,YES,3,0,2009-08-24 17:15,30,Without Modification
1357734,YES,9,0,2009-08-31 14:28,73,Without Modification
1375457,NO,6,0,2009-09-03 19:32,91,Irreproducible
1408569,YES,3,10,2009-09-11 1:27,17,Without Modification
1417223,NO,3,0,2009-09-13 8:42,40,Irreproducible
1417374,YES,4,1,2009-09-17 4:50,40,Minor Modification
1492992,YES,2,0,2009-09-29 14:41,38,Without Modification
1530864,YES,8,7,2009-10-07 10:49,11,Major Modification
1534263,YES,2,3,2009-10-07 21:21,37,Major Modification
1536054,YES,22,179,2009-10-08 7:01,8,Irreproducible
1542398,NO,6,1,2009-10-08 12:37,89,Inaccurate Claim
1562568,YES,3,0,2009-10-13 19:56,125,Inaccurate Claim
1566318,NO,3,1,2009-10-14 13:42,2,Major Modification
1594400,NO,2,0,2009-10-20 12:53,39,Irreproducible
1599205,YES,4,3,2009-10-21 7:12,1,Minor Modification
1600376,YES,2,0,2009-10-21 11:57,10,Minor Modification
1606041,YES,6,0,2009-10-22 9:26,9,Minor Modification
1630092,YES,3,1,2009-10-27 11:06,6,Major Modification
1639881,NO,3,0,2009-10-28 20:21,13,Major Modification
1640364,NO,4,0,2009-10-28 21:53,9,Irreproducible
1644582,NO,3,-1,2009-10-29 15:34,13,Minor Modification
