Id,PostTypeId,AcceptedAnswerId,AccAnsTime,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
189889,1,189955,2008-10-10 2:44,,2008-10-10 2:15,,56,50697,"<p>I'm having a problem using the java.text.MessageFormat object.</p>

<p>I'm trying to create SQL insert statements.   The problem is, when I do something like this:</p>

<pre><code>MessageFormat messageFormat = ""insert into {0} values ( '{1}', '{2}', '{3}', {4} )"";
Object[] args = { str0, str1, str2, str3, str4 };
String result = messageFormat.format(args);
</code></pre>

<p>I get this for the value of <code>result</code>:</p>

<pre><code>""insert into &lt;str0&gt; values ( {1}, {2}, {3}, &lt;str4&gt; )""
</code></pre>

<p>As you can see, the problem is that any of the target locations that are enclosed by single quotes do not get replaced by arguments.   I have tried using double single quotes like this: <code>''{1}''</code> and escaped characters like this: <code>\'{1}\'</code> but it still gives the same result. </p>

<p>edit: I forgot to mention that I also tried <code>'''{1}'''</code>.   The result is: <code>""insert into &lt;str0&gt; values ( '{1}', '{2}', '{3}', &lt;str4&gt; )""</code>.   It is keeping the original quotes around but still not inserting the values.</p>

<p>How can I resolve this issue?   For the record, I am using JDK 6u7.</p>
",12983,Taylor Marshall,12983,Taylor Marshall,2008-10-10 2:33,2016-02-22 10:49,Java MessageFormat - How can I insert values between single quotes?,<java>,5,2,7,,2008-10-10 2:15
223918,1,223929,2008-10-21 23:27,,2008-10-21 23:23,,1246,495378,"<p>We all know you can't do the following because of <code>ConcurrentModificationException</code>:</p>

<pre><code>for (Object i : l) {
    if (condition(i)) {
        l.remove(i);
    }
}
</code></pre>

<p>But this apparently works sometimes, but not always. Here's some specific code:</p>

<pre class=""lang-java prettyprint-override""><code>public static void main(String[] args) {
    Collection&lt;Integer&gt; l = new ArrayList&lt;&gt;();

    for (int i = 0; i &lt; 10; ++i) {
        l.add(4);
        l.add(5);
        l.add(6);
    }

    for (int i : l) {
        if (i == 5) {
            l.remove(i);
        }
    }

    System.out.println(l);
}
</code></pre>

<p>This, of course, results in:</p>

<pre><code>Exception in thread ""main"" java.util.ConcurrentModificationException
</code></pre>

<p>Even though multiple threads aren't doing it. Anyway.</p>

<p>What's the best solution to this problem? How can I remove an item from the collection in a loop without throwing this exception?</p>

<p>I'm also using an arbitrary <code>Collection</code> here, not necessarily an <code>ArrayList</code>, so you can't rely on <code>get</code>.</p>
",15055,Claudiu,3657460,,2019-10-20 13:04,2021-07-03 19:11,"Iterating through a Collection, avoiding ConcurrentModificationException when removing objects in a loop",<java>,29,1,372,,
275711,1,275715,2008-11-09 7:46,,2008-11-09 7:35,,388,406802,"<p>Is there a better way of getting this result? This function fails if num has more digits than digits, and I feel like it should be in the library somewhere (like Integer.toString(x,""%3d"") or something)</p>

<pre><code>static String intToString(int num, int digits) {
    StringBuffer s = new StringBuffer(digits);
    int zeroes = digits - (int) (Math.log(num) / Math.log(10)) - 1; 
    for (int i = 0; i &lt; zeroes; i++) {
        s.append(0);
    }
    return s.append(num).toString();
}
</code></pre>
",34910,,,user166390,2012-04-01 4:59,2015-05-24 14:59,Add leading zeroes to number in Java?,<java>,5,5,82,2014-09-23 8:24,
312168,1,312178,2008-11-23 5:52,,2008-11-23 5:43,,17,3641,"<p>So I was making a class the other day and used Eclipse's method to create the equals method when I realized that it generated the following <strong>working</strong> code:</p>

<pre><code>class Test {
  private int privateInt;
  [...]
  public boolean equals(Object obj) {
    [...]
    Test t = (Test) obj;
    if ( t.privateInt == privateInt ) {
    [...]
  }
}
</code></pre>

<p>t.privateInt..???? It's suppose to be private! So I guess there is one more field visibility other than private, protected, package protected and public.</p>

<p>So what is happening here? How is this called? <strong>Where would somebody use this?</strong> Doesn't this break encapsulation? What if the class didn't have a mutator and I changed this? Does this happen to C++ as well? Is this an OO idiom? If not, then why did Java do it?</p>

<p>Generally, where can I find information about this?</p>

<p>Thank you.</p>
",2644,pek,2644,pek,2008-11-26 15:21,2011-12-09 13:26,Java Private Field Visibility,<java>,6,0,7,,
314600,1,314635,2008-11-24 16:16,,2008-11-24 16:07,,0,183,"<p>I have a bunch of generic interfaces and classes</p>

<pre><code>public interface IElement {
// omited
}

class Element implements IElement {
// omited
}

public interface IElementList&lt;E extends IElement&gt;  extends Iterable {
   public Iterator&lt;E&gt; iterator();
}

class ElementList implements IElementList&lt;Element&gt; {

    public Iterator&lt;Element&gt; iterator() {
       // omited
       }
}


public interface IElementListGroup&lt;E extends IElementList&lt;? extends IElement&gt;&gt; {
    public E getChosenElementList();
}


class ElementListGroup implements IElementListGroup&lt;ElementList&gt; {
    public ElementList getChosenElementList() {
        // omited
    }
}
</code></pre>

<p>And then a simple code</p>

<pre><code>ElementListGroup group;

for(Element e : group.getChosenElementList())
{
 // omited
}
</code></pre>

<p>And the line with for keyword throwe a ""cannot convert from element type Object to Element"" compiler error.</p>

<p>Thanks in advance.</p>
",24028,lbownik,13,Chris Jester-Young,2008-11-24 16:23,2008-11-24 16:23,Why doesn't this generic interface stack work?,<java>,2,0,,,
337038,1,337067,2008-12-03 13:20,,2008-12-03 13:10,,1,490,"<p>I have an interface called Dictionary which has a method <code>insert()</code>. This interface is implemented by class <code>BSTree</code>, but I also have a class <code>AVLTree</code> which is a child class of <code>BSTree</code>. <code>AVLTree</code> redefines the <code>insert()</code> so it suits it's needs. Now if I type the following code:</p>

<pre><code>Dictionary data=new AVLTree();
data.insert();
</code></pre>

<p>There is a problem, because the <code>insert()</code> method that is called is of <code>BSTree</code> instead of <code>AVLTree</code>. Why doesn't the polymorphism kick in here? What is the appropriate solution, one that retains the principle of polymorphism?</p>
",42803,,1253219,,2012-07-19 5:08,2012-07-19 5:08,Polymorphism not working correctly,<java>,4,0,,,
354393,1,354398,2008-12-09 22:01,,2008-12-09 22:00,,0,8396,"<p>** Dup: <a href=""https://stackoverflow.com/questions/226002/whats-the-difference-between-x-x-vs-x"">What&#39;s the difference between X = X++; vs X++;?</a> **</p>

<p>So, even though I know you would never actually do this in code, I'm still curious:</p>

<pre><code>public static void main(String[] args) {
    int index = 0;
    System.out.println(index);   // 0
    index++;
    System.out.println(index);   // 1
    index = index++;
    System.out.println(index);   // 1
    System.out.println(index++); // 1
    System.out.println(index);   // 2
}
</code></pre>

<p>Note that the 3rd <code>sysout</code> is still <code>1</code>. In my mind the line <code>index = index++;</code> means ""set index to index, then increment index by 1"" in the same way <code>System.out.println(index++);</code> means ""pass index to the println method then increment index by 1"".</p>

<p>This is not the case however. Can anyone explain what's going on?</p>
",1666,SCdF,-1,Paul Tomblin,2017-05-23 10:27,2008-12-09 22:13,Why doesn't `index = index++` increment `index`?,<java>,8,1,,2008-12-09 22:11,
401748,1,,,,2008-12-30 22:44,,1,6039,"<p>This problem seems to happen inconsistently.  We are using a java applet to download a file from our site, which we store temporarily on the client's machine. </p>

<p>Here is the code that we are using to save the file:</p>

<pre><code>URL targetUrl = new URL(urlForFile);
InputStream content = (InputStream)targetUrl.getContent();
BufferedInputStream buffered = new BufferedInputStream(content);
File savedFile = File.createTempFile(""temp"","".dat"");

FileOutputStream fos = new FileOutputStream(savedFile);
int letter;
while((letter = buffered.read()) != -1)
    fos.write(letter);
fos.close();
</code></pre>

<p>Later, I try to access that file by using:</p>

<pre><code>ObjectInputStream keyInStream = new ObjectInputStream(new FileInputStream(savedFile));
</code></pre>

<p>Most of the time it works without a problem, but every once in a while we get the error:</p>

<pre><code>java.io.StreamCorruptedException: invalid stream header: 0D0A0D0A
</code></pre>

<p>which makes me believe that it isn't saving the file correctly.</p>
",,JohnDoe,,,,2008-12-31 4:03,Corrupt file when using Java to download file,<java>,5,1,,,
404804,1,404829,2009-01-01 10:31,,2009-01-01 10:00,,14,880,"<pre><code>public class CovariantTest {
    public A getObj() {
        return new A();
    }

    public static void main(String[] args) {
        CovariantTest c = new SubCovariantTest();
        System.out.println(c.getObj().x);
    }
}

class SubCovariantTest extends CovariantTest {
    public B getObj() {
        return new B();
    }
}

class A {
    int x = 5;
}

class B extends A {
    int x = 6;
}
</code></pre>

<p>The above code prints 5 when compiled and run. It uses the covariant return for the over-ridden method. </p>

<p>Why does it prints 5 instead of 6, as it executes the over ridden method getObj in class SubCovariantTest. </p>

<p>Can some one throw some light on this. Thanks.</p>
",40945,BlackPanther,7671,Alex Miller,2009-01-02 4:16,2014-02-08 18:16,Java Covariants,<java>,7,0,3,,
409919,1,409927,2009-01-03 21:52,,2009-01-03 21:49,,0,4140,"<p>I'm trying to work this out.</p>

<p>In my project, i have a file called 'Hello.java' which is the file with the main() argument and which is called when the program is compiled. And I have another file called MyObj.java which has got just a random class I made up to test java's OO features. I'm trying to do this:</p>

<pre><code>class Hello
{
    public MyObj an_obj;
    public static void main(String[] args)
    { 
        setObj();
    }       

    public void setObj()
    {
        this.an_obj.set_size(7);
        say(""size is "" + this.an_obj.get_size());
    }    
}
</code></pre>

<p>In the MyObj.java class i have this code:</p>

<pre><code>public class MyObj
{
    private int size;

    public MyObj()
    {
        //do nothing
    }

    public void set_size(int new_size)
    {
        this.size=new_size;
    }

    public int get_size()
    {
        return this.size;
    }   
}
</code></pre>

<p>This however gives the error:</p>

<blockquote>
  <p>""Cannot make a static reference to
  non-static method setObj() from the
  type Hello"".</p>
</blockquote>

<p>If I add 'static' to the declaration of setObj, i.e</p>

<pre><code>public static void setObj()
</code></pre>

<p>Then I get:</p>

<blockquote>
  <p>Cannot make a static reference to
  non-static field an_obj.</p>
</blockquote>

<p>My question is, how can I accomplish what I'm doing, i.e setting and retreiving an object's field if the only way to start a program is with the Main method, and the main Method can only call static methods?? In what, how can I do anything at all with this limitation of being able to call static methods only?????</p>
",49153,Java,2598,jjnguy,2009-01-03 22:00,2009-01-04 0:04,How to overcome limitations of Java's Static Main() Method,<java>,6,3,1,,
