QID,AccAnswer,QPostTime,ReproducibilityStatus,Actions,,
543534,YES,2009-02-12 21:53,Without Modification,,,
2278982,YES,2010-02-17 7:29,Without Modification,,,
2528198,NO,2010-03-27 5:04,Minor Modification,Import a package,,
3180132,YES,2010-07-05 14:10,Without Modification,,,
3390484,YES,2010-08-02 18:07,Without Modification,,,
3413702,YES,2010-08-05 10:11,Without Modification,,,
5053504,YES,2011-02-19 21:01,Without Modification,,,
5255011,YES,2011-03-10 3:10,Minor Modification,,,
6774724,YES,2011-07-21 10:38,Without Modification,,,
8362660,YES,2011-12-02 21:05,Without Modification,,,
8390585,YES,2011-12-05 19:16,Without Modification,,,
8899198,YES,2012-01-17 17:44,Major Modification,Need to create the file structure and guess where to try the import statement,,
10022208,YES,2012-04-05 3:14,Without Modification,,,
10066037,YES,2012-04-08 20:02,Without Modification,,,
10090769,NO,2012-04-10 14:35,Without Modification,,,
10171357,NO,2012-04-16 9:08,Minor Modification,Need to install and import a package,,
10306163,YES,2012-04-24 21:20,Without Modification,,,
10418398,YES,2012-05-02 17:02,Without Modification,,,
11658998,YES,2012-07-25 21:35,Without Modification,,,
11730721,NO,2012-07-30 22:36,Without Modification,,,
12386396,YES,2012-09-12 4:16,Without Modification,,,
12549794,YES,2012-09-23 4:41,Without Modification,,,
13075044,YES,2012-10-25 18:37,Minor Modification,Fixed syntax error,,
13209016,YES,2012-11-03 12:06,Without Modification,,,
14063877,YES,2012-12-28 2:36,Without Modification,,,
14553271,NO,2013-01-27 22:52,Without Modification,,,
14602485,YES,2013-01-30 11:05,Without Modification,,,
14975137,YES,2013-02-20 8:17,Without Modification,,,
15110685,YES,2013-02-27 11:14,Without Modification,,,
16039325,YES,2013-04-16 14:08,Minor Modification,Assign value to a variable,,
16620186,YES,2013-05-18 2:44,Without Modification,,,
16827384,YES,2013-05-30 3:17,Minor Modification,Just need to clean the code to run,,
17436432,YES,2013-07-02 21:52,Without Modification,,,
17934559,YES,2013-07-29 21:30,Without Modification,,,
18057868,YES,2013-08-05 12:12,Without Modification,,"Did not mention the Python version, it's a python 2 specific problem",
18191776,NO,2013-08-12 16:11,Minor Modification,Install a library,,
18231335,NO,2013-08-14 12:07,Without Modification,,,
18276283,YES,2013-08-16 14:56,Without Modification,,,
18348838,YES,2013-08-21 4:25,Without Modification,,,
18645111,YES,2013-09-05 20:14,Minor Modification,Need to create the scenario,,
18934039,YES,2013-09-21 14:55,Without Modification,,,
18994334,YES,2013-09-25 0:34,Without Modification,,,
19100429,NO,2013-09-30 17:40,Without Modification,,,
19262734,YES,2013-10-09 3:48,Minor Modification,Need to create folder structure like this,,
19733662,YES,2013-11-01 19:06,Without Modification,,,
19948779,YES,2013-11-13 8:24,Without Modification,,,
20208570,YES,2013-11-26 4:33,Without Modification,,,
20544551,YES,2013-12-12 13:13,Without Modification,,,
21403019,NO,2014-01-28 10:28,Without Modification,,,
22080628,YES,2014-02-27 21:18,Minor Modification,,,
22210516,YES,2014-03-05 22:14,Without Modification,,,
22253007,YES,2014-03-07 14:37,Minor Modification,call the function,,
22332978,NO,2014-03-11 18:04,Without Modification,,,
22498013,YES,2014-03-19 6:30,Without Modification,,,
22747444,YES,2014-03-30 17:43,Without Modification,,,
22804408,YES,2014-04-02 7:29,Without Modification,,,
22829023,YES,2014-04-03 5:59,Without Modification,,,
22890286,YES,2014-04-06 5:19,Without Modification,,,
23048961,YES,2014-04-13 22:01,Without Modification,,,
23080412,YES,2014-04-15 9:58,Without Modification,,,
23401547,NO,2014-05-01 3:21,Without Modification,,Call function,fix logical error
23603774,NO,2014-05-12 7:58,Major Modification,Take input,,
24483182,NO,2014-06-30 5:00,Without Modification,,,
