QID,AccAnswer,NoOfAnswer,Score,QPostTime,LOC,ReproducibilityStatus,
543534,YES,4,9,2009-02-12 21:53,8,Without Modification,
2278982,YES,2,0,2010-02-17 7:29,22,Without Modification,
2528198,NO,3,1,2010-03-27 5:04,2,Minor Modification,
3180132,YES,3,1,2010-07-05 14:10,16,Without Modification,
3390484,YES,2,11,2010-08-02 18:07,10,Without Modification,
3413702,YES,3,2,2010-08-05 10:11,13,Without Modification,
3731278,YES,4,8,9-16-2010 22:18,7,Irreproducible,
4175585,YES,3,4,2010-11-14 0:57,25,Inaccurate Claim,
5053504,YES,2,1,2011-02-19 21:01,16,Without Modification,
5094793,NO,4,0,2011-02-23 17:49,32,Inaccurate Claim,
5128836,NO,4,0,2-26-2011 18:20,4,Irreproducible,
5205982,YES,2,0,3-5-2011 18:45,35,Irreproducible,
5255011,YES,1,7,2011-03-10 3:10,14,Minor Modification,
6430839,NO,3,0,6-21-2011 19:22,11,Irreproducible,
6459078,YES,3,3,2011-06-23 18:44,11,Inaccurate Claim,
6502909,NO,2,0,2011-06-28 7:14,30,Inaccurate Claim,
6774724,YES,6,21,2011-07-21 10:38,9,Without Modification,
8362660,YES,3,-1,2011-12-02 21:05,25,Without Modification,
8390585,YES,1,0,2011-12-05 19:16,5,Without Modification,
8390585,YES,1,0,2011-12-05 19:16,5,Ill-Defined Issue,
8899198,YES,3,50,2012-01-17 17:44,16,Major Modification,
8903592,NO,2,0,1-18-2012 0:24,8,Irreproducible,
10022208,YES,1,0,2012-04-05 3:14,2,Without Modification,
10066037,YES,2,0,2012-04-08 20:02,11,Without Modification,
10090769,NO,3,0,2012-04-10 14:35,7,Without Modification,
10171357,NO,3,2,2012-04-16 9:08,7,Minor Modification,
10306163,YES,2,2,2012-04-24 21:20,7,Without Modification,
10418398,YES,3,2,2012-05-02 17:02,7,Without Modification,
11025143,NO,2,2,2012-06-14 0:10,8,Ill-Defined Issue,
11658998,YES,2,0,2012-07-25 21:35,22,Without Modification,
11730721,NO,1,1,2012-07-30 22:36,10,Without Modification,
12186956,YES,1,1,8-29-2012 21:43,31,Irreproducible,
12386396,YES,1,1,2012-09-12 4:16,42,Without Modification,
12546361,NO,0,1,2012-09-22 18:03,25,Ill-Defined Issue,
12549794,YES,1,1,2012-09-23 4:41,14,Without Modification,
13075044,YES,1,17,2012-10-25 18:37,6,Minor Modification,
13209016,YES,4,3,2012-11-03 12:06,8,Without Modification,
14063877,YES,4,2,2012-12-28 2:36,17,Without Modification,
14553271,NO,1,0,2013-01-27 22:52,7,Without Modification,
14563985,YES,1,1,1-28-2013 14:16,12,Irreproducible,
14602485,YES,5,2,2013-01-30 11:05,5,Without Modification,
14975137,YES,3,1,2013-02-20 8:17,8,Without Modification,
